Bin ID	N_LENS	angl0L_X.E(z)^-1angr0	f_CC^a	angl0M_200angr0	angl0zangr0	E(angl0zangr0)	L_Z	f_bias	f_boost	f_bias x f_boost		
A0	1	31.14 +or- 0.49	1.0	14.9^+7.1_-4.8	0.22	1.10	3.16	1.01	1.00	1.01		
A1	3	13.75 +or- 0.50	1.0	 8.2^+3.3_-2.3	0.36	1.18	3.78	1.02	1.00	1.03		
A2	3	6.04 +or- 0.28	1.17	 9.9^+3.3_-2.5	0.35	1.17	3.77	1.01	1.00	1.02		
A3	11	2.21 +or- 0.15	1.08	 3.2^+1.3_-0.9	0.36	1.18	3.77	1.02	1.00	1.02		
A4	7	0.90 +or- 0.06	1.03	 2.1^+1.5_-0.8	0.23	1.11	3.20	1.01	1.00	1.01		
A5	13	1.24 +or- 0.09	1.05	 1.1^+0.8_-0.4	0.35	1.18	3.77	1.01	1.00	1.02		
A6	11	3.65 +or- 0.21	1.17	 3.3^+1.7_-1.1	0.50	1.27	3.96	1.03	1.01	1.04		
A7	23	4.72 +or- 0.24	1.13	 2.6^+1.1_-0.7	0.69	1.41	3.84	1.04	1.02	1.06		
A8	21	10.51 +or- 0.50	1.14	 7.6^+2.3_-1.8	0.90	1.58	3.65	1.03	1.05	1.08		

